the_geom,phase,operator,total_occupants,presumed_accident_location,country,presumed_area,date,nature,departure_airport,intended_destination,asn_id,type,mh370,month_and_day_asn_id,month_and_day,year,cartodb_id,created_at,updated_at
0101000020E6100000C18F6AD8EFA92F402B4D4A41B7FF21C0,Unknown,Unknown,unknown,unknown area,Angola,land,"January 7, 2000",Unknown,Luanda de Fevereiro Airport,"Cafunfo Airport, within Angola",20000107-0,Antonov 26,0,20000107-0,2007-01-01,2000,78,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E61000000F7BA180ED3252C0757632384AF23540,En route,Línea Aérea Puertorriqueña,12,"Caribbean Sea, off Turks and Caicos Islands",Atlantic Ocean,sea,"December 15, 2008",Domestic Non Scheduled Passenger,Cibao International Airport in the Dominican Republic,Mayaguana Airport in the Bahamas,20081215-0,Britten-Norman BN-2A Trislander Mk.III-2,0,20081215-0,2015-12-01,2008,79,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E61000006B7D91D016BC6140295AB91798294240,En route,Varig,6,200km ENE off Tokyo,Japan,sea,"January 30, 1979",Cargo,Tokyo-Narita Airport in Japan,Galeão International Airport in Brazil,19790130-0,Boeing 707-323C,0,19790130-0,1930-01-01,1979,80,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000B2BAD573D24F3C40E8305F5E807DF7BF,En route,Stellavia,1,near Walikale,DR Congo,land,"February 15, 2007",Cargo,Goma International Airport,"Walikale Airstrip, within DR Congo",20070215-1,Cessna 208B Grand Caravan,0,20070215-1,2015-02-01,2007,81,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000D68C0C7217A153C0F86EF3C6491116C0,En route,Carson Helicopters,3,near Bagua,Peru,land,"March 9, 1996",Survey/research,Bagua Airport,"Bagua Airport, within Peru",19960309-1,de Havilland Canada DHC-6 Twin Otter 200,0,19960309-1,2009-03-01,1996,82,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E610000064AE0CAA0DF15D40DA722EC5557D21C0,En route,Merpati Nusantara Airlines,14,Molo Strait,Indonesia,sea,"January 10, 1995",Domestic Scheduled Passenger,Bima Airport,"Ruteng Airport, within Indonesia",19950110-0,de Havilland Canada DHC-6 Twin Otter 300,0,19950110-0,2010-01-01,1995,83,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000130A117008A74EC08E93C2BCC7292A40,Approach,Leeward Islands Air Transport,13,SW off St Vincent,St Vincent and the Grenadines,sea,"August 4,1986",International Scheduled Passenger,Hewanorra International Airport on St Lucia,Arnos Vale Airport on St Vincent,19860804-0,de Havilland Canada DHC-6 Twin Otter 310,0,19860804-0,2004-08-01,1986,84,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E61000009A7B48F8DE8C5840C1A90F24EF5C0E40,En route,Pan Malaysian Air Transport,14,within Northern Sumatra,Indonesia,land,"January 31,1993",Domestic Non Scheduled Passenger,Polonia International Airport,"Sultan Iskandar Muda International Airport, within Indonesia",19930131-1,Shorts SC.7 Skyvan 3,0,19930131-1,1931-01-01,1993,85,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E61000004CA60A46251552C0F304C24EB1AA1940,En route,LAC Colombia,3,Sierra Cucuy,Colombia,land,"December 8, 1978",Cargo,Bogotá-Eldorado Airport in Colombia,Trinidad Airport,19781208-1,Douglas DC-6A/B,0,19781208-1,2008-12-01,1978,86,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000D369DD06B5F653C0EFC8586DFEEB3840,En route,Argosy Airlines,4,"off Fort Lauderdale, FL",USA,sea,"September 21, 1978",Ferry/positioning,Fort Lauderdale International Airport in Florida,José Martí International Airport in Cuba,19780921-0,Douglas DC-3,0,19780921-0,2021-09-01,1978,87,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
